,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
738,Rubus cuneifolius,RUCU,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.0,Yes,Yes,No,Shrub,Rubus cuneifolius,Sand Blackberry,Rosaceae,L48 (N),"AL, CT, DC, DE, FL, GA, LA, MA, MD, MS, NC, NH, NJ, NY, PA, SC, TN, VA",Pollinator,White,Yes,Apr–May,3,Short,Multiple Stem,Semi-Erect,No Color,Deciduous,"Sun, Part Shade",Dry,Medium,,None,5–7,Medium,Moderate,"Spring, Summer",None,Yes,Low,High,High/Low,"Seed, Container, Bare root, Cutting, Sprig",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Proserpinus flavofasciatus,,,
739,Rubus elegantulus,RUEL2,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Rubus elegantulus,Showy Blackberry,Rosaceae,"L48 (N), CAN (N)","CT, MA, ME, NH, NJ, NY, PA, VT, WI",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Unlikely,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
740,Rubus flagellaris,RUFL,1,1,0,0,1,5,0,Go Native Trees,PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Shrub,Rubus flagellaris,Northern Dewberry,Rosaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,White,Yes,May–Jun,3,Short,Thicket Forming,Prostrate,No Color,Deciduous,"Sun, Part Shade",Dry,High,,None,5–7,Low,Rapid,"Spring, Summer",High,Yes,Low,High,Low/Low,"Seed, Container, Bare root, Cutting, Sprig",Available 2017,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
741,Rubus hispidus,RUHI,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Shrub,Rubus hispidus,Bristly Dewberry,Rosaceae,"L48 (N), CAN (N)","CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WA, WI, WV",Pollinator,White,Yes,Apr–May,2,Moderate,Single Stem,Prostrate,No Color,Deciduous,"Sun, Part Shade","Wet, Moist",High,,None,4.5–7,Low,Moderate,Spring,Low,Yes,Medium,Medium,Low/Low,"Seed, Container, Bare root, Cutting, Sprig",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,"Olethreutes permundana, Orthotaenia undulana",,,
742,Rubus idaeus,RUID,1,1,0,0,3,5,0,"Edge ot Woods Orefield, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,9.0,Yes,Yes,No,Shrub,Rubus idaeus,American Red Raspberry,Rosaceae,"L48 (NI), AK (NI), CAN (NI), SPM (N)","AK, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY",Pollinator,White,No,Apr–May,3–10,Short,Thicket Forming,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",,,None,5–7.5,Medium,Moderate,Spring,Low,Yes,High,Medium,Low/Low,"Seed, Container, Bare root, Cutting, Sprig",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,"Amphipyra pyramidoides, Ancylis apicana, Ancylis comptana, Anisota senatoria, Apatelodes torrefacta, Automeris io io, Cerastis tenebrifera, Choristoneura rosaceana, Diachrysia balluca, Eueretagrotis perattentus, Euproctis chrysorrhoea, Euxoa auxilaris, Euxoa scandens, Habrosyne scripta, Halysidota tessellaris, Haploa lecontei, Hemigraphiphora plebeia, Hydria undulata, Hyphantria cunae, Incurvaria rubiella, Lampronai rubiella, Lophocampa caryae, Lymantria dispar, Malacosoma californica california, Malacosoma disstria, Melanchra assimilis, Melanchra picta, Mythimna unipuncta, Nematocampa limbata, Nematocampa resistaria, Orthosia rubescens, Paonias excaecata, Papaipema cataphracta, Papaipema nebris, Pennisetia marginata, Peridroma saucia, Plagodis pulveraria, Platynota idaeusalis, Pseudothyatira cymatophoroides, Pyrrharctia isabella, Schizura concinna, Schizura ipomoeae, Schizura unicornis, Schreckensteinia festaliella, Spaelotis clandestina, Sparganothis umbrana, Spilosoma virginica, Spodoptera dolichos, Spodoptera ornithogalli, Spodoptera praefica, Synanthedon tupuliformis, Synchlora aerata, Synchlora aerata albolineata, Synchlora aerata albolineata, Trichordestra tacoma, Xanthorhoe lacustrata, Xanthotype sospeta, Xestia adela, Xestia normanianus, Xestia smithii",,,
743,Rubus occidentalis,RUOC,1,1,0,0,2,5,0,"Go Native Trees, Perennial New Bloomfield",PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Shrub,Rubus occidentalis,Black Raspberry,Rosaceae,"L48 (N), CAN (N)","AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Pollinator,White,Yes,Apr–May,3–6,Short,Thicket Forming,Erect,No Color,Deciduous,"Sun, Part Shade",Moist,Medium,,None,5.2–7.5,Medium,Rapid,"Spring, Summer",None,Yes,Medium,High,High/Low,"Seed, Container, Bare root, Sprig",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,"Acleris britannia, Habrosyne scripta, Hyalophora cecropia, Peridroma saucia, Tischeria aenea",,,
744,Rubus odoratus,RUOD,1,1,1,0,2,5,0,"Gino's Newtown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Shrub,Rubus odoratus,Purpleflowering Raspberry,Rosaceae,"L48 (N), CAN (N)","AL, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WA, WI, WV",Pollinator,Purple–rose,Yes,May–Jun,4–6,Short,Thicket Forming,Semi-Erect,No Color,Deciduous,"Sun, Part Shade",Moist,Medium,,None,4.5–6.5,Medium,Rapid,"Spring, Summer",None,Yes,Medium,High,High/Low,"Seed, Container, Bare root, Sprig",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,"Automeris io io, Epinotia medioviridana, Habrosyne scripta, Lithophane fagina, Paonias excaecata",,,
745,Rubus pensilvanicus,RUPE3,0,0,0,0,0,5,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Rubus pensilvanicus,Pennsylvania Blackberry,Rosaceae,"L48 (N), CAN (N)","AL, CT, DC, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Pollinator,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
746,Rubus pubescens,RUPU,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,"Shrub, Herb (perennial)",Rubus pubescens,Dwarf Red Blackberry,Rosaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, OR, PA, RI, SD, VT, WA, WI, WV, WY",Pollinator,,,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
747,Rubus recurvicaulis,RURE2,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Rubus recurvicaulis,Arching Dewberry,Rosaceae,L48 (N),"CT, MA, ME, NH, NJ, NY, OH, PA, RI, VT",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Unlikely,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
748,Rubus semisetosus,RUSE3,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Rubus semisetosus,Swamp Blackberry,Rosaceae,L48 (N),"CT, IA, IL, MA, ME, MI, MN, NH, NJ, NY, PA, RI, VT, WI",Pollinator,,,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Unlikely,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
749,Rubus setosus,RUSE,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Rubus setosus,Setose Blackberry,Rosaceae,"L48 (N), CAN (N)","CT, IA, IL, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI, WV",Pollinator,,,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Unlikely,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
750,Rubus trivialis,RUTR,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,"Vine, Shrub",Rubus trivialis,Southern Dewberry,Rosaceae,L48 (N),"AL, AR, FL, GA, IA, IL, KS, KY, LA, MD, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WV",Pollinator,White,,Mar–Apr,3–5,,,,,,"Sun, Part Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food; Nesting and Structure (Bees),Native Bees; Bombus; Butterflies; Nesting and Structure (Bees),Yes,Yes,,,,Yes,,Yes,,,,,,,
751,Rubus vermontanus,RUVE5,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Rubus vermontanus,Vermont Blackberry,Rosaceae,L48 (N),"CT, MA, ME, MI, MN, NH, NY, PA, RI, VT, WI",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Unlikely,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
752,Rudbeckia fulgida,RUFU2,1,1,1,1,12,6,6,"Arcadia Washington, Archewild Quakertown, Collins Glenside, Earthbound Ephrata, Edge ot Woods Orefield, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge, Keystone Robesonia, Musser Indiana, Northeast Quakertown, Redbud Media",ErnstSeed.com,Longwood Gardens,Yes,,6.7,Yes,Yes,No,Herb (perennial),Rudbeckia fulgida,Orange Coneflower,Asteraceae,"L48 (N), CAN (I)","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV",Workhorse/Pollinator,,Yes,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Butterflies,Yes,,,,,Yes,,,,,,,,,
753,Rudbeckia hirta,RUHI2,1,1,1,1,5,6,4,"Arcadia Washington, Archewild Quakertown, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia",ErnstSeed.com,Longwood Gardens,Yes,,9.0,Yes,Yes,No,Herb (annual or perennial),Rudbeckia hirta,Black-Eyed Susan,Asteraceae,"L48 (N), AK (I), CAN (N)","AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,Yellow,Yes,Jun–Aug,1.5–3.5,Short,Single Stem,Semi-Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,Medium,6–7,Medium,Rapid,"Fall, Winter, Spring",None,No,Medium,Medium,Low/Low,Seed,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Charidryas gorgone carlota, Charidryas nycteis, Chlorochlamys chloroleucaria, Chlosyne nycteis, Isophrictis similiella, Papaipema nebris, Synchlora aerata, Synchlora aerata aerata",,,
754,Rudbeckia laciniata,RULA3,1,1,1,1,12,5,2,"Arcadia Washington, Archewild Quakertown, Butterfly Oasis Lancaster, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,Yes,,9.5,Yes,Yes,No,"Shrub, Herb (perennial)",Rudbeckia laciniata,Cutleaf Coneflower,Asteraceae,"L48 (N), CAN (N)","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,"Yellow, brown",Yes,Jul–Sep,2–10,Short,Rhizomatous,Erect,Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",Low,,None,4.5–7,Low,Rapid,Spring,None,No,High,None,High/High,"Seed, Container",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Charidryas nycteis, Epiblema arizonana, Epiblema carolinana, Marmara auratella, Papaipema nelita, Phtheochroa birdana",,,
755,Rudbeckia triloba,RUTR2,1,1,1,1,6,6,2,"Arcadia Washington, Gino's Newtown, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,Longwood Gardens,Yes,,6.5,Yes,Yes,No,Herb (perennial),Rudbeckia triloba,Browneyed Susan,Asteraceae,"L48 (N), CAN (I)","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, UT, VA, VT, WI, WV",Workhorse/Pollinator,"Yellow, brown",Yes,Jun–Oct,1–5,,,,,,"Sun, Part Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
756,Ruellia caroliniensis,RUCA4,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (perennial),Ruellia caroliniensis,Carolina Wild Petunia,Acanthaceae,L48 (N),"AL, DC, DE, FL, GA, IA, IL, IN, KY, LA, MD, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV",Pollinator,"Lavender, purple",Yes,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Butterfly)",Yes,Yes,,Yes,,,,,,Yes,,Anthanassa texana texana,,,
757,Ruellia humilis,RUHU,1,1,1,0,7,5,0,"Arcadia Washington, Collins Glenside, Gino's Newtown, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.6,Yes,Yes,Yes,Herb (perennial),Ruellia humilis,Fringeleaf Wild Petunia,Acanthaceae,L48 (N),"AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, OH, OK, PA, TN, TX, VA, WI, WV",Workhorse/Pollinator,"Lavender, purple",Yes,May–Jun,1–3,Short,Single Stem,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Low,,None,4.5–7.5,Low,Moderate,Summer,None,No,Medium,None,Medium/Medium,"Seed, Container",Available 2017,High,Adult Food,"Native Bees; Beetles, Wasps, Flies; Butterflies; Hummingbirds",Yes,,,Yes,,Yes,,,,,,,Yes,,
758,Rumex verticillatus,RUVE3,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,Herb (perennial),Rumex verticillatus,Swamp Dock,Polygonaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Pollinator,,No,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Euproctis chrysorrhoea, Hyllolycaena hyllus, Mesapamea passer",,,Yes
759,Sagittaria cuneata,SACU,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Herb (perennial),Sagittaria cuneata,Arumleaf Arrowhead,Alismataceae,"L48 (N), AK (N), CAN (N)","AK, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, VT, WA, WI, WY",Pollinator,Yellow,Yes,Indeterminate,2.5,Moderate,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,Medium,,None,4.7–8.6,Low,Moderate,Spring,None,No,None,None,High/,Seed,Available 2017,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
760,Sagittaria engelmanniana,SAEN,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Herb (perennial),Sagittaria engelmanniana,Engelmann's Arrowhead,Alismataceae,L48 (N),"AL, CT, DE, GA, MA, MD, MS, NC, NJ, NY, PA, RI, SC, VA",Pollinator,,,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
761,Sagittaria latifolia,SALA2,1,1,1,0,3,5,0,"Arcadia Washington, Hungry Hook Bainbridge, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,6.0,Yes,Yes,No,Herb (perennial),Sagittaria latifolia,Broadleaf Arrowhead,Alismataceae,"L48 (N), HI (I), PR (N), CAN (N)","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,Yellow,Yes,May–Jun,5,Moderate,Bunch,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,High,,None,4.7–8.9,Low,Moderate,Spring,None,No,None,None,High/,Seed,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Cryptocala acadiensis,,,
762,Salix amygdaloides,SAAM2,1,1,0,0,2,4,0,"Go Native Trees, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,6.0,Yes,Yes,No,"Tree, Shrub",Salix amygdaloides,Peachleaf Willow,Salicaceae,"L48 (N), CAN (N)","AZ, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY",Pollinator,White,No,May–Jun,60,Short,Multiple Stem,Irregular,No Color,Deciduous,"Sun, Part Shade","Wet, Moist",High,,None,6–8,Medium,Rapid,"Spring, Summer",Low,Yes,Low,High,Medium/Medium,"Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Melipotis jucunda,,,Yes
763,Salix bebbiana,SABE2,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,"Tree, Shrub",Salix bebbiana,Bebb Willow,Salicaceae,"L48 (N), AK (N), CAN (N)","AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY",Pollinator,,No,Apr–May,12,Moderate,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade","Wet, Moist",High,,None,5.5–7.5,Medium,Moderate,"Spring, Summer",Medium,Yes,None,High,Medium/Low,"Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Acronicta dactylina, Acronicta noctivaga, Agonopterix argillacea, Antheraea polyphemus polyphemus, Archips argyrospila, Archips mortuana, Archips myricana, Autographa ampla, Campaea perlata, Clostera inclusa, Coleophora atlantica, Erynnis icelus, Eufidonia convergaria, Furcula cinerea, Furcula occidentalis, Gypsonoma salicicolana, Hemileuca nevadensis -complex, Limenitis arthemis, Lithomoia solidaginis, Lithophane amanda, Lithophane fagina, Melanchra assimilis, Mesothea incertata incertata, Orgyia antiqua, Phyllonorycter salicifoliella, Phyllonorycter scudderella, Scoliopteryx libatrix, Smerinthus cerisyi, Smerinthus jamaicensis, Spiramater lutra, Trichordestra legitima, Xestia oblata, Zale minerea",,,Yes
764,Salix candida,SACA4,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.0,Yes,Yes,No,Shrub,Salix candida,Sageleaf Willow,Salicaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NJ, NY, OH, PA, SD, VT, WA, WI, WY",Pollinator,Green,No,May–Jun,6,Moderate,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,High,,None,5.7–7.6,Medium,Rapid,"Spring, Summer",Medium,Yes,Low,High,Medium/,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Hemileuca lucina,,,Yes
765,Salix caroliniana,SACA5,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,4.2,No,Yes,No,Tree,Salix caroliniana,Coastal Plain Willow,Salicaceae,L48 (N),"AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV",Pollinator,Green,No,Mar–Apr,35,Long,Multiple Stem,Erect,Color,Deciduous,"Sun, Part Shade",Wet,High,,None,4.5–8.8,Low,Rapid,Spring,None,Yes,Medium,Medium,Medium/Low,"Seed, Container, Bare root, Cutting",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Cerura multiscripta, Limenitis archippus, Mitoura hesseli",,,Yes
766,Salix cordata,SACO3,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,3.0,Yes,Yes,No,Shrub,Salix cordata,Heartleaf Willow,Salicaceae,"L48 (N), CAN (N)","IA, IL, IN, MD, MI, NJ, NY, PA, WI",Pollinator,,,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Wind",Yes,,Yes,Yes,,Yes,,,,Yes,Yes,"Automeris io io, Erynnis icelus, Limenitis archippus",,,Yes
